epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,746.225,1.84234,4.99876,1.66767,0.36071,0.16667,0.18343,0.15363,1.89243,13.1065,1.66536,7.5e-05,7.5e-05,7.5e-05
2,1474.6,1.6229,3.34009,1.46958,0.59328,0.32577,0.30348,0.2139,1.84953,5.85041,1.57006,0.000151094,0.000151094,0.000151094
3,2172.15,1.53367,2.73787,1.40298,0.7331,0.38224,0.35725,0.22248,1.8428,3.62687,1.57621,0.000221825,0.000221825,0.000221825
4,2863.16,1.4746,2.30772,1.37118,0.494,0.4533,0.37992,0.29132,1.83202,3.94214,1.5791,0.000287194,0.000287194,0.000287194
5,3560.08,1.47437,2.21733,1.40446,0.55425,0.50019,0.53346,0.33564,1.91008,3.10826,1.60433,0.0003472,0.0003472,0.0003472
6,4287.25,1.41015,1.99396,1.36614,0.41042,0.44186,0.42496,0.26462,1.97097,3.34287,1.64991,0.000401844,0.000401844,0.000401844
7,5017.91,1.40733,1.96202,1.37426,0.63909,0.38252,0.44606,0.27066,2.00702,3.17131,1.71401,0.000451125,0.000451125,0.000451125
8,5693.69,1.3751,1.87954,1.33854,0.81133,0.42001,0.52699,0.31887,1.93952,2.73155,1.66077,0.000480625,0.000480625,0.000480625
9,6391.32,1.43967,1.82861,1.35788,0.93006,0.35662,0.54819,0.31177,1.92019,3.11274,1.67029,0.00046,0.00046,0.00046
10,7090.03,1.36409,1.72765,1.33344,0.59486,0.508,0.48159,0.28039,1.92347,2.70361,1.71383,0.000439375,0.000439375,0.000439375
11,7791.56,1.39712,1.69925,1.35283,0.69561,0.41092,0.42451,0.309,1.90471,2.36303,1.69926,0.00041875,0.00041875,0.00041875
12,8510.23,1.39288,1.60496,1.35999,0.89542,0.35053,0.45915,0.317,1.91319,2.34309,1.68309,0.000398125,0.000398125,0.000398125
13,9199.15,1.28783,1.47465,1.27381,0.62995,0.41431,0.49816,0.36329,1.89129,2.06825,1.61864,0.0003775,0.0003775,0.0003775
14,9893.08,1.34011,1.49493,1.28716,0.792,0.38627,0.52001,0.36814,1.90844,2.05784,1.65008,0.000356875,0.000356875,0.000356875
15,10613.8,1.29034,1.45883,1.27615,0.41428,0.60842,0.56255,0.38963,1.90146,1.9588,1.63142,0.00033625,0.00033625,0.00033625
16,11316.4,1.2912,1.39647,1.28615,0.637,0.55329,0.60085,0.41463,1.83557,1.82351,1.57694,0.000315625,0.000315625,0.000315625
17,11988.8,1.31436,1.38993,1.30232,0.77418,0.50294,0.61939,0.45573,1.84442,1.80539,1.58249,0.000295,0.000295,0.000295
18,12688.1,1.30473,1.41125,1.28116,0.57274,0.53743,0.59305,0.41437,1.88429,1.89147,1.59859,0.000274375,0.000274375,0.000274375
19,13388.8,1.26635,1.3075,1.26814,0.68884,0.54438,0.59185,0.3621,1.85085,1.92981,1.55098,0.00025375,0.00025375,0.00025375
20,14179.5,1.25637,1.28641,1.2738,0.78398,0.50835,0.58436,0.4171,1.84668,2.00657,1.55074,0.000233125,0.000233125,0.000233125
21,15060.2,1.27333,1.44826,1.27936,0.72989,0.53391,0.57971,0.40305,1.86519,2.15384,1.60306,0.0002125,0.0002125,0.0002125
22,15880,1.32776,1.43356,1.31699,0.74312,0.53039,0.59906,0.43501,1.86197,2.01904,1.59324,0.000191875,0.000191875,0.000191875
23,16674.3,1.29575,1.32348,1.29884,0.52837,0.58927,0.59883,0.40955,1.89519,2.00196,1.62922,0.00017125,0.00017125,0.00017125
24,17477.5,1.23308,1.26568,1.28514,0.55511,0.57104,0.56663,0.41103,1.89166,1.89256,1.61505,0.000150625,0.000150625,0.000150625
25,18224.3,1.2198,1.19585,1.25478,0.61851,0.51812,0.56762,0.4097,1.87973,1.90628,1.60486,0.00013,0.00013,0.00013
26,18927.9,1.2038,1.1254,1.25029,0.65428,0.50488,0.57331,0.42737,1.83413,1.89396,1.55852,0.000109375,0.000109375,0.000109375
27,19624.4,1.20641,1.14753,1.22077,0.7389,0.49412,0.61631,0.45107,1.81298,1.88192,1.54274,8.875e-05,8.875e-05,8.875e-05
28,20292.1,1.20023,1.086,1.25424,0.67079,0.51486,0.57815,0.44728,1.80415,1.85134,1.53627,6.8125e-05,6.8125e-05,6.8125e-05
29,20980.2,1.15155,1.05849,1.20786,0.65454,0.54235,0.57739,0.44492,1.83033,1.84649,1.55177,4.75e-05,4.75e-05,4.75e-05
30,21655.6,1.16695,1.07256,1.20939,0.59351,0.60529,0.5668,0.43958,1.84121,1.83265,1.55641,2.6875e-05,2.6875e-05,2.6875e-05
